label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
odroid3,164.0,166.0,169.0,166.0,168.0,166.0,166.0
odroid3,170.0,171.0,169.0,171.0,170.0,170.0,166.0
odroid3,167.0,170.0,170.0,173.0,172.0,173.0,166.0
odroid3,166.0,165.0,166.0,166.0,166.0,165.0,165.0
odroid3,168.0,172.0,168.0,172.0,171.0,170.0,166.0
odroid3,164.0,166.0,168.0,167.0,165.0,166.0,166.0
odroid3,168.0,177.0,167.0,170.0,172.0,175.0,181.0
odroid3,170.0,168.0,170.0,171.0,172.0,171.0,164.0
odroid3,163.0,166.0,167.0,168.0,166.0,167.0,167.0
odroid3,162.0,166.0,169.0,168.0,166.0,167.0,166.0
odroid3,169.0,173.0,170.0,170.0,170.0,172.0,167.0
odroid3,165.0,172.0,170.0,170.0,171.0,197.0,138.0
odroid3,167.0,172.0,169.0,171.0,171.0,170.0,165.0
odroid3,168.0,172.0,167.0,170.0,172.0,169.0,166.0
odroid3,165.0,172.0,169.0,170.0,172.0,172.0,165.0
odroid3,164.0,167.0,165.0,166.0,166.0,165.0,166.0
odroid3,165.0,172.0,169.0,172.0,181.0,162.0,170.0
odroid3,162.0,165.0,167.0,164.0,168.0,166.0,167.0
odroid3,166.0,172.0,169.0,172.0,170.0,171.0,166.0
odroid3,166.0,173.0,171.0,171.0,170.0,170.0,166.0
odroid3,166.0,169.0,169.0,169.0,169.0,169.0,169.0
odroid3,169.0,173.0,168.0,171.0,170.0,170.0,167.0
odroid3,165.0,165.0,166.0,166.0,166.0,164.0,166.0
odroid3,167.0,173.0,170.0,174.0,171.0,171.0,165.0
odroid3,168.0,170.0,170.0,172.0,169.0,172.0,167.0
odroid3,170.0,169.0,169.0,170.0,172.0,171.0,166.0
odroid3,164.0,167.0,166.0,166.0,166.0,165.0,167.0
odroid3,168.0,170.0,168.0,169.0,169.0,182.0,160.0
odroid3,163.0,166.0,168.0,165.0,167.0,167.0,167.0
odroid3,168.0,172.0,171.0,170.0,170.0,173.0,165.0
odroid3,175.0,161.0,169.0,172.0,172.0,170.0,166.0
odroid3,168.0,170.0,170.0,169.0,169.0,170.0,168.0
odroid3,169.0,170.0,170.0,171.0,171.0,170.0,166.0
odroid3,163.0,167.0,168.0,165.0,167.0,165.0,165.0
odroid3,168.0,172.0,171.0,168.0,171.0,170.0,166.0
odroid3,167.0,171.0,169.0,173.0,170.0,171.0,165.0
odroid3,170.0,172.0,168.0,171.0,173.0,169.0,165.0
odroid3,167.0,171.0,169.0,173.0,170.0,172.0,165.0
odroid3,165.0,167.0,168.0,166.0,166.0,165.0,165.0
odroid3,167.0,171.0,169.0,172.0,173.0,172.0,166.0
odroid3,163.0,166.0,166.0,167.0,166.0,165.0,166.0
odroid3,166.0,169.0,169.0,167.0,171.0,169.0,168.0
odroid3,169.0,170.0,169.0,172.0,171.0,172.0,164.0
odroid3,165.0,167.0,168.0,165.0,167.0,166.0,167.0
odroid3,168.0,170.0,169.0,170.0,170.0,173.0,166.0
odroid3,164.0,166.0,166.0,168.0,167.0,165.0,167.0
odroid3,167.0,171.0,169.0,170.0,171.0,170.0,166.0
odroid3,167.0,168.0,171.0,168.0,168.0,169.0,170.0
odroid3,168.0,171.0,170.0,171.0,171.0,172.0,166.0
odroid3,166.0,172.0,170.0,171.0,172.0,170.0,166.0
odroid3,167.0,173.0,169.0,170.0,173.0,172.0,166.0
odroid3,92.0,172.0,169.0,171.0,171.0,172.0,167.0
odroid3,165.0,164.0,169.0,168.0,166.0,166.0,168.0
odroid3,164.0,168.0,166.0,166.0,165.0,168.0,165.0
odroid3,169.0,171.0,172.0,172.0,171.0,173.0,166.0
odroid3,170.0,169.0,169.0,172.0,171.0,171.0,166.0
odroid3,166.0,168.0,171.0,168.0,171.0,167.0,169.0
odroid3,166.0,168.0,172.0,170.0,171.0,168.0,169.0
odroid3,168.0,174.0,168.0,170.0,173.0,170.0,167.0
odroid3,166.0,169.0,170.0,170.0,171.0,167.0,170.0
odroid3,166.0,170.0,172.0,168.0,169.0,169.0,168.0
odroid3,166.0,170.0,169.0,172.0,172.0,171.0,168.0
odroid3,169.0,172.0,172.0,172.0,171.0,170.0,166.0
odroid3,168.0,171.0,168.0,172.0,174.0,170.0,165.0
odroid3,169.0,172.0,170.0,172.0,172.0,170.0,167.0
odroid3,170.0,171.0,168.0,171.0,172.0,171.0,165.0
odroid3,168.0,172.0,169.0,172.0,173.0,172.0,166.0
odroid3,163.0,168.0,166.0,167.0,167.0,165.0,165.0
